Date,Time,Open,High,Low,Close,Volume
20200813,00:00:00,1921.74,1966.16,1919.90,1957.27,104
20200814,00:00:00,1957.26,1961.41,1932.03,1944.00,89
20200816,00:00:00,1948.72,1951.24,1931.86,1932.43,3
20200817,00:00:00,1932.41,1990.48,1929.35,1983.72,86
20200818,00:00:00,1983.70,2015.50,1975.90,2005.15,94
20200819,00:00:00,2005.15,2005.88,1924.53,1927.57,111
20200820,00:00:00,1927.57,1955.13,1924.69,1952.63,106
20200821,00:00:00,1952.57,1955.77,1911.24,1939.62,99
20200823,00:00:00,1939.87,1941.34,1929.81,1935.03,3
20200824,00:00:00,1935.03,1961.79,1923.61,1929.59,84
20200825,00:00:00,1929.57,1937.42,1914.11,1929.57,79
20200826,00:00:00,1929.45,1954.92,1902.68,1953.28,81
20200827,00:00:00,1953.30,1976.58,1909.78,1927.87,94
20200828,00:00:00,1927.76,1973.72,1923.29,1964.43,89
20200830,00:00:00,1965.38,1976.46,1964.90,1972.98,4
20200831,00:00:00,1972.97,1976.37,1954.13,1967.76,75
20200901,00:00:00,1967.76,1992.30,1963.12,1972.47,89
20200902,00:00:00,1972.45,1973.12,1932.43,1944.57,89
20200903,00:00:00,1944.57,1950.90,1921.66,1927.86,90
20200904,00:00:00,1927.85,1947.65,1916.20,1933.30,82
20200906,00:00:00,1929.79,1937.50,1929.79,1934.21,2
20200907,00:00:00,1934.21,1941.27,1924.29,1930.47,32
20200908,00:00:00,1930.47,1940.75,1906.43,1930.11,65
20200909,00:00:00,1930.12,1950.78,1919.93,1947.29,50
20200910,00:00:00,1947.24,1966.40,1941.32,1943.81,61
20200911,00:00:00,1943.86,1954.66,1937.01,1938.93,63
20200913,00:00:00,1940.55,1943.13,1937.02,1942.73,2
20200914,00:00:00,1942.71,1962.38,1939.73,1957.12,51
20200915,00:00:00,1957.10,1972.03,1948.28,1953.84,56
20200916,00:00:00,1953.84,1973.47,1949.80,1959.70,64
20200917,00:00:00,1959.68,1960.01,1932.74,1947.02,67
20200918,00:00:00,1947.02,1959.90,1944.98,1949.72,52
20200920,00:00:00,1949.59,1951.45,1942.39,1948.35,2
20200921,00:00:00,1948.26,1955.46,1882.38,1917.02,78
20200922,00:00:00,1916.99,1919.89,1894.46,1904.14,76
20200923,00:00:00,1904.15,1905.21,1853.45,1854.82,96
20200924,00:00:00,1854.70,1876.99,1848.63,1867.71,86
20200925,00:00:00,1867.74,1875.08,1852.30,1861.00,71
20200927,00:00:00,1859.45,1865.90,1859.45,1862.45,2
20200928,00:00:00,1862.44,1883.65,1848.45,1882.45,65
20200929,00:00:00,1882.45,1899.23,1875.31,1896.67,62
20200930,00:00:00,1896.64,1902.12,1881.24,1887.53,70
20201001,00:00:00,1887.52,1912.03,1884.56,1903.19,69
20201002,00:00:00,1903.07,1916.97,1889.64,1898.87,61
20201004,00:00:00,1903.83,1904.16,1897.89,1902.91,2
20201005,00:00:00,1902.88,1918.58,1886.90,1912.74,52
20201006,00:00:00,1912.72,1921.02,1874.56,1879.94,65
20201007,00:00:00,1880.07,1897.90,1872.75,1886.87,52
20201008,00:00:00,1886.86,1900.50,1881.94,1895.24,49
20201009,00:00:00,1895.24,1930.33,1894.91,1929.62,56
20201011,00:00:00,1928.79,1933.05,1926.04,1929.00,3
20201012,00:00:00,1929.00,1931.79,1918.16,1925.02,58
20201013,00:00:00,1924.99,1925.00,1886.31,1893.33,68
20201014,00:00:00,1893.33,1912.83,1882.39,1898.20,56
20201015,00:00:00,1898.20,1908.81,1889.44,1906.31,59
20201016,00:00:00,1906.30,1913.81,1897.66,1898.97,47
20201018,00:00:00,1899.67,1902.84,1898.50,1900.69,1
20201019,00:00:00,1900.70,1918.34,1896.88,1902.92,50
20201020,00:00:00,1902.92,1913.98,1894.62,1910.68,50
20201021,00:00:00,1910.59,1931.30,1910.07,1921.26,54
20201022,00:00:00,1921.24,1922.12,1894.21,1904.92,52
20201023,00:00:00,1904.92,1914.11,1894.20,1901.26,45
20201025,00:00:00,1903.30,1903.71,1891.13,1898.41,4
20201026,00:00:00,1898.40,1908.46,1894.79,1902.15,52
20201027,00:00:00,1902.15,1911.35,1897.72,1905.16,47
20201028,00:00:00,1905.16,1910.77,1869.21,1879.52,69
20201029,00:00:00,1879.49,1884.86,1859.87,1868.35,68
20201030,00:00:00,1868.35,1889.70,1864.26,1878.44,68
20201101,00:00:00,1876.93,1879.88,1875.19,1877.03,2
20201102,00:00:00,1877.03,1896.06,1873.31,1894.73,64
20201103,00:00:00,1894.73,1916.07,1886.84,1914.36,54
20201104,00:00:00,1914.29,1916.23,1880.63,1904.71,76
20201105,00:00:00,1904.68,1952.65,1902.36,1946.06,78
20201106,00:00:00,1946.07,1960.20,1935.47,1950.30,66
20201108,00:00:00,1954.69,1959.84,1953.32,1958.47,2
20201109,00:00:00,1958.46,1965.41,1850.40,1870.72,91
20201110,00:00:00,1870.73,1890.24,1867.34,1876.50,76
20201111,00:00:00,1876.55,1884.38,1856.21,1865.46,60
20201112,00:00:00,1865.47,1883.70,1862.59,1875.67,59
20201113,00:00:00,1875.66,1896.66,1873.98,1888.29,52
20201115,00:00:00,1888.14,1891.48,1886.63,1890.39,1
20201116,00:00:00,1890.38,1898.93,1864.50,1889.75,62
20201117,00:00:00,1889.74,1893.33,1876.73,1882.54,55
